# SecureFlow — ZAP Baseline Rules
# Format: rule_id	action	name
# Actions: IGNORE, WARN, FAIL
10010	WARN	Cookie No HttpOnly Flag
10011	WARN	Cookie Without Secure Flag
10015	FAIL	Incomplete or No Cache-control Header Set
10017	WARN	Cross-Domain JavaScript Source File Inclusion
10020	FAIL	X-Frame-Options Header
10021	FAIL	X-Content-Type-Options Header
10035	FAIL	Strict-Transport-Security Header
10038	WARN	Content Security Policy Header
10098	WARN	Cross-Domain Misconfiguration
10202	WARN	Absence of Anti-CSRF Tokens
40012	FAIL	Cross Site Scripting (Reflected)
40014	FAIL	Cross Site Scripting (Persistent)
40018	FAIL	SQL Injection
90033	WARN	Loosely Scoped Cookie
